ID;Year;Month;Day;Date;Time;Time zone;State;State FIPS number;State Number;Magnitude;Injuries;Fatalities;Loss;Cropp loss;Starting Latitude;Starting Longitude;Ending Lattitude;Ending Longitude;Length ;Width;Number of States affected;State number;Tornado Segment number;1st County FIPS code;2nd County FIPS code;3rd County FIPS code;4th County FIPS code;Wind only
555384;2015;1;1;01/01/2015;14:08:00;3;GA;13;0;50;0;0;0;0;32.06;-81.16;32.06; ;0;0;0;0;0;51;0;0;0;EG
555385;2015;1;1;01/01/2015;14:10:00;3;GA;13;0;50;0;0;0;0;32.01;-81.1;32.01;-81.1;0;0;0;0;0;51;0;0;0;EG
547892;2015;1;3;03/01/2015;03:15:00;3;TX;48;0;50;0;0;0.001;0;31.13;-93.99;31.13;-93.99;0;0;0;0;0;241;0;0;0;EG
549101;2015;1;3;03/01/2015;03:15:00;3;LA;22;0;52;0;0;0;0;32.42;-93.86;32.42;-93.86;0;0;0;0;0;17;0;0;0;EG
549102;2015;1;3;03/01/2015;03:15:00;3;LA;22;0;53;0;0;0;0;32.47;-93.8;32.47;-93.8;0;0;0;0;0;17;0;0;0;EG
549103;2015;1;3;03/01/2015;03:15:00;3;LA;22;0;53;0;0;0;0;32.03;-93.7;32.03;-93.7;0;0;0;0;0;31;0;0;0;EG
549104;2015;1;3;03/01/2015;03:15:00;3;LA;22;0;53;0;0;0.02;0;32.48;-93.75;32.48;-93.75;0;0;0;0;0;17;0;0;0;EG
549106;2015;1;3;03/01/2015;03:20:00;3;TX;48;0;53;0;0;0;0;31.19;-93.97;31.19;-93.97;0;0;0;0;0;403;0;0;0;EG
549105;2015;1;3;03/01/2015;03:20:00;3;LA;22;0;55;0;0;0.003;0;32.52;-93.66;32.52;-93.66;0;0;0;0;0;15;0;0;0;EG
549107;2015;1;3;03/01/2015;03:25:00;3;LA;22;0;55;0;0;0;0;32.52;-93.66;32.52;-93.66;0;0;0;0;0;15;0;0;0;EG
